Player Name,Region,Download (Mbps),Upload (Mbps),Aprox. Input Delay,Aprox. Distance from source miles,Misc Notes
Zoolaw,"Nagoya City, Japan",321,92,1F,218,
7110,"Tochigi City, Japan",470,190,`1F,66,
