Player Name,Region,Download (Mbps),Upload (Mbps),Aprox. Input Delay,Aprox. Distance from source miles,Misc Notes
Baekun,CA (Socal),406,21,1F,X,
Kbrad,MD,800,880,4F,2658,
TA Wolf,Guadalajara Mexico,91,116,4F,2529,
AZReadMan,"Phoenix, AZ",90,30,2F,372,
